test;yaw_target;yaw_actual_median;tsr_expected;cp_expected;ct_expected;tsr_actual_median;cp_actual_median;ct_actual_median;pitot_velocity_median;u_blockage_corrected_median;ct_for_blockage_median;blockage_factor_median;top;file_number;mat_file
1;-30;-28.799999237060547;8.2;0.2424417161663958;0.6174191787971431;9.83755048863536;0.13149593477040103;0.2989164662949719;3.993789385884038;4.102133688947573;0.6880503113387169;1.02726651100654;1;5;Results_File_5_TOP_1.mat
2;0;1.1159999370574951;8.2;0.3755534;0.8282760353597667;9.27298749554894;0.26020423996428316;0.4878714926865953;4.006361961364746;4.353015481609622;0.9679232483557876;1.0867365020081994;2;5;Results_File_5_TOP_2.mat
3;30;30.761999130249023;8.2;0.2454164611500326;0.624994874242507;9.467336434733141;0.11722712023953097;0.416723569180221;4.0436988106418035;4.261865524047706;0.6925184731912124;1.0536561676027727;3;5;Results_File_5_TOP_3.mat
4;-30;-29.492998123168945;8.5;0.2328195841105167;0.627342994099444;9.915731304594614;0.07885761546780572;0.42938297887228777;4.037927959114313;4.301011968517686;0.6728777195273417;1.0657777300946603;5;5;Results_File_5_TOP_5.mat
5;0;0.2879999876022339;8.5;0.3605702;0.8414067770959012;9.186540728667524;0.1889684212344353;0.5512736175075088;4.011704254114339;4.640885090819907;0.9717637681303731;1.1575689644330565;6;5;Results_File_5_TOP_6.mat
6;30;30.518999099731445;8.5;0.235574845460937;0.6347671715444079;9.520739726914346;0.08196300797502423;0.4877093197112212;4.037538051605225;4.478456362592484;0.6950713666869915;1.1088538269865351;7;5;Results_File_5_TOP_7.mat
7;-30;-29.825998306274414;8.8;0.2215101694598935;0.6320635886123881;10.056608765445601;0.04110289788391435;0.4573447082604003;4.050202150678922;4.433104315796513;0.6651212412830086;1.0945656113762692;8;5;Results_File_5_TOP_8.mat
8;0;0.2789999842643738;8.8;0.342986;0.8475671740630879;9.20530925477451;0.1446972862282593;0.5583857046104954;4.013652948422298;4.844174649195567;0.9660227334473841;1.2054573638281687;9;5;Results_File_5_TOP_9.mat
9;30;30.511087048438288;8.8;0.2240417142537208;0.639287172482244;9.949422422971992;0.05355917503537849;0.5047150985729529;4.045880732997771;4.481590601329849;0.6915786723406214;1.1070804800834675;10;5;Results_File_5_TOP_10.mat
10;-30;-28.800579809373424;7.6;0.2569838917494583;0.5892898752092429;8.400924396111987;0.21648898601674352;0.3945082199408589;4.584633029276325;4.803730705237627;0.7028658183415399;1.046710135813528;11;5;Results_File_5_TOP_11.mat
11;0;1.0709999799728394;7.6;0.3982728;0.7909232762190279;7.718117568767543;0.2744452609567882;0.5457929939867935;4.544862399178166;5.228532105397253;0.9673416707208158;1.1505377008042883;12;5;Results_File_5_TOP_12.mat
12;30;30.46549725051849;7.6;0.2603876519050803;0.5970950391192992;7.8893307618641;0.18596810672504682;0.4579086399036653;4.577320385724306;5.115748239024782;0.7337634256505977;1.1177849442448902;13;5;Results_File_5_TOP_13.mat
13;-30;-29.78999900817871;7.9;0.2507082883809472;0.603917710048243;8.438042881772668;0.15583612911250017;0.4571313227743108;4.584482242984157;5.072411808456761;0.6925258740679336;1.1071363459189192;14;5;Results_File_5_TOP_14.mat
14;0;0.5489999651908875;7.9;0.3884492000000001;0.8103524262218462;7.406522913404487;0.19320979760844617;0.5267826313133306;4.546705376717352;5.778474049522969;0.9790891195544797;1.2700755753432484;15;5;Results_File_5_TOP_15.mat
15;30;30.463855122366258;7.9;0.2539020245386662;0.6116109292845264;8.256828584285675;0.1572136691778652;0.534042165076692;4.579619281654876;5.183025330029401;0.73348892976851;1.1314288998092972;16;5;Results_File_5_TOP_16.mat
16;-30;-29.690998077392578;8.2;0.2424417161663958;0.6174191787971431;8.94191460182031;0.13136666178557282;0.5113223489484656;4.584630758531632;5.080406586494541;0.6955614584110792;1.1091059374572354;17;5;Results_File_5_TOP_17.mat
17;0;0.3240000009536743;8.2;0.3755534;0.8282760353597667;7.277647521684431;0.14228958331450964;0.46919105544466694;4.544687680659758;6.242724348193807;0.9860862026650757;1.3749762993393304;18;5;Results_File_5_TOP_18.mat
18;30;30.464998245239258;8.2;0.2454164611500326;0.624994874242507;8.789285135721972;0.1380035896176651;0.5467474034103488;4.579864895151507;5.168927776146715;0.7286528266034922;1.1282354615422245;19;5;Results_File_5_TOP_19.mat
