yaw_group;test;top;file_number;mat_file;yaw_target;yaw_actual_median;cos_gamma;tsr_expected;cp_expected;ct_expected;tsr_median;tsr_welch;cp_median;cp_welch;ct_median;ct_welch;u_inf_glauert_corrected_median;u_inf_glauert_corrected_welch;u_orthogonal_for_performance_median;u_orthogonal_for_performance_welch;omega_median;omega_welch;thrust_median;thrust_welch;power_median;power_welch;torque_median;torque_welch;ct_glauert_reference_median;ct_glauert_reference_welch;blockage_factor_reference_median;blockage_factor_reference_welch;cp_welch_dominant_frequency_hz;cp_welch_dominant_spectrum;ct_welch_dominant_frequency_hz;ct_welch_dominant_spectrum
yaw_minus_30;1;1;5;Results_File_5_TOP_1.mat;-30;-28.799999237060547;0.8660254037844387;8.2;0.2424417161663958;0.6174191787971431;9.458845872563586;9.55807688658458;0.18146552193641824;0.1555582218454888;0.3901882843169937;0.5093313484766336;4.266796734139007;5.481520986775393;3.695154364548858;4.747136425925035;74.24366304603441;83.89074665616808;2.5971112237814147;4.718690443004689;4.879591872282469;5.510912688001974;0.06574266300750303;0.07422392993263344;0.5863747109473134;0.8073423116146039;1.0676987510210778;1.3730314418600862;12.20703125;0.0030395804619714716;12.20703125;0.13206449611368146
yaw_minus_30;4;5;5;Results_File_5_TOP_5.mat;-30;-29.492998123168945;0.8660254037844387;8.5;0.2328195841105167;0.627342994099444;9.516830697796433;9.720830850033527;0.10751609187909347;0.09555897038668783;0.6854104365320668;0.6086211086754837;4.47938353848604;5.687798232961257;3.879259937622741;4.92577776134469;78.4369476351874;88.62559751399219;5.841392012813909;5.593815079988153;3.3535997644002413;3.796162684493466;0.04275846811767963;0.04839731725052132;0.6979848644784001;0.87301028422415;1.1103646148875272;1.4086149199129732;12.6953125;0.0007240096877489249;12.6953125;0.06683929738259237
yaw_minus_30;7;8;5;Results_File_5_TOP_8.mat;-30;-29.825998306274414;0.8660254037844387;8.8;0.2215101694598935;0.6320635886123881;9.71512755756009;10.054898234825458;0.05750258652054312;0.05427468188092455;0.6294181384730984;0.5781427549650167;4.587019725953153;5.739126243233429;3.9724756103357652;4.970229122166099;81.99576023549074;92.6465469013178;5.576168525278954;5.476066515987371;2.0087828194218247;2.243385504084153;0.024497063038617248;0.027359859696850116;0.7357010164840497;0.8939774414860767;1.1329285847967108;1.417327579254008;13.671875;0.00013632644233073403;13.671875;0.028381118083775254
yaw_minus_30;10;11;5;Results_File_5_TOP_11.mat;-30;-28.800579809373424;0.8660254037844387;7.6;0.2569838917494583;0.5892898752092429;7.944399555018079;8.100164764536299;0.28164378063010037;0.2457750410361741;0.46298668939697707;0.5315695278501334;5.080321936982089;6.4700625351811745;4.399687856829855;5.603238519540846;74.24199842565965;83.88678457056878;4.276199670620555;6.858186551085411;12.607492268588326;14.24218853006451;0.1698146723965902;0.19183408125258467;0.6942918285532139;0.8675035322647906;1.1084545834377688;1.4112587663707863;12.20703125;0.007526122417801847;12.20703125;0.07008246758228
yaw_minus_30;13;14;5;Results_File_5_TOP_14.mat;-30;-29.78999900817871;0.8660254037844387;7.9;0.2507082883809472;0.603917710048243;8.046155735440074;8.387461903029397;0.20805197928924019;0.19265113416457086;0.40488755701423024;0.49677345603670403;5.316823628330124;6.60905523579908;4.60450432957524;5.723609729216556;78.74496491144238;88.97755010556175;5.186705243028407;6.73873899740975;10.668885472026528;12.055898863611043;0.1354842070607677;0.15308927339986853;0.7700923135555621;0.915570381030512;1.1599564679200478;1.44106935205825;12.6953125;0.0021114765581371317;12.6953125;0.0027762655968841337
yaw_minus_30;16;17;5;Results_File_5_TOP_17.mat;-30;-29.690998077392578;0.8660254037844387;8.2;0.2424417161663958;0.6174191787971431;8.326638342653922;8.80438523840313;0.16593128710901064;0.15824449450738018;0.46093114724786377;0.5046725725232862;5.4554472633270255;6.667761320769644;4.724555919047498;5.774450690157794;83.56431504471489;94.41713382699034;5.689332254482057;6.924300558012183;9.085695356086532;10.290048117467192;0.10872707021446512;0.1231372146275769;0.7995010703853092;0.9343546191022759;1.1904230461795902;1.4542341498990474;13.671875;0.0024468093512976896;27.34375;0.0006315580789435358
yaw_minus_30;19;20;5;Results_File_5_TOP_20.mat;-30;-28.74599838256836;0.8660254037844387;7;0.2613071611331977;0.5662553961487662;7.1606821035549455;7.430144314365189;0.3361740044596313;0.30780469484381506;0.6606610479553534;0.6266820982258451;5.629280982634817;7.0416121581023985;4.8751003360023795;6.098215012514042;74.1444895456531;83.77035242433953;9.196161491266515;8.813340485015567;20.36645122564078;23.00954369441363;0.2747012163538709;0.31033217197373325;0.7065897507369024;0.8577391277063272;1.1150018515684783;1.3953215362113953;12.20703125;0.011125146391219521;12.20703125;0.1010531810162889
yaw_minus_30;22;23;5;Results_File_5_TOP_23.mat;-30;-29.60999870300293;0.8660254037844387;7.3;0.2614334429535168;0.5779554820989141;7.1776790090930795;7.676682674483076;0.2688750378819617;0.2661738259332663;0.5772185399454063;0.598630547620465;5.924291808814397;7.168259071880839;5.130587205865331;6.20789445715707;78.22761960884606;88.38425433236263;8.197038282623087;8.68628086059405;18.960409393683626;21.44379054319348;0.24240080614865395;0.2741382915426922;0.782129585423926;0.9039943869173499;1.171432422657468;1.4185058028075506;12.6953125;0.005572228490647952;12.6953125;0.0565226143661844
yaw_minus_30;25;26;5;Results_File_5_TOP_26.mat;-30;-29.51999855041504;0.8660254037844387;7.6;0.2569838917494583;0.5892898752092429;7.294512318343475;7.982828737788149;0.22289868124433698;0.23657715101932306;0.48457025297083817;0.5525854457530119;6.150913838623226;7.252732005322405;5.326847640736972;6.281050163449659;82.514420479755;93.23433987984181;7.501573614109467;8.739247209884274;17.71408488741956;20.030494395173623;0.21466660865980083;0.24273411013106222;0.8188998765091022;0.927561275618686;1.2159357856266426;1.4342109390445936;13.671875;0.0032249265157023228;13.671875;0.01307342755112066
yaw_minus_30;28;29;5;Results_File_5_TOP_29.mat;-30;-28.718997955322266;0.8660254037844387;6.4;0.2523400498411734;0.5304042160859316;6.504589585752457;6.754295146466761;0.38796121915212106;0.3573784846371864;0.5056144031480723;0.5672714911859044;6.055818967675223;7.576407534265531;5.244493066726398;6.561361394097769;72.46734259739532;81.88144996879198;7.030056075247673;9.794610009198244;29.463790858813283;33.29025963784137;0.40656907864190384;0.45938881654773217;0.6507794747993588;0.8030632709619235;1.0889911039219906;1.3617702135032357;11.71875;0.01055687638602429;11.71875;0.03775546899260375
yaw_0;2;2;5;Results_File_5_TOP_2.mat;0;1.1159999370574951;1.0;8.2;0.3755534;0.8282760353597667;9.436339553232578;9.522920330906226;0.27409596706162725;0.2315174559124133;0.4798366448600237;0.5385223809476335;4.276653707013851;5.502718352467614;4.276653707013851;5.502718352467614;74.2535355331442;83.89480879607183;4.9459339340121335;6.801699948422993;11.246243460142809;12.70340413501127;0.15146319957038507;0.17108503247216222;0.5863747109473134;0.8073423116146039;1.0676987510210778;1.3730314418600862;12.20703125;0.006008353315968362;24.4140625;0.0020827158695421455
yaw_0;5;6;5;Results_File_5_TOP_6.mat;0;0.2879999876022339;1.0;8.5;0.3605702;0.8414067770959012;9.567600076161703;9.791303696359824;0.21401079170484982;0.18681955442303338;0.5291824239773344;0.5650937836883203;4.454193372762134;5.644495841968384;4.454193372762134;5.644495841968384;78.4313830711315;88.61881497325282;5.889703116274207;7.358475610641997;9.88669807921888;11.165640673896226;0.12605630099179974;0.14235483595110052;0.6979848644784001;0.87301028422415;1.1103646148875272;1.4086149199129732;12.6953125;0.0028734616315877416;12.6953125;0.0008941029428835287
yaw_0;8;9;5;Results_File_5_TOP_9.mat;0;0.2789999842643738;1.0;8.8;0.342986;0.8475671740630879;9.810861191189325;10.147064582612302;0.17415941178300076;0.15823688598622324;0.5453731556572861;0.5742424094782378;4.543460782654728;5.6871982162935835;4.543460782654728;5.6871982162935835;81.99580416575864;92.64631464699097;6.205831891585726;7.557179097374228;8.613012345791056;9.751961868541814;0.10505525990276354;0.11892695326847455;0.7357010164840497;0.8939774414860767;1.1329285847967108;1.417327579254008;13.671875;0.0011619809206819414;13.671875;0.0011124361431626942
yaw_0;11;12;5;Results_File_5_TOP_12.mat;0;1.0709999799728394;1.0;7.6;0.3982728;0.7909232762190279;8.009328377318624;8.169150568928195;0.3072412559166584;0.2687005130435316;0.5261828226635011;0.559163554586678;5.038432179307347;6.414988519820366;5.038432179307347;6.414988519820366;74.2403701326961;83.88546578457492;7.526238852148629;9.403664867453163;20.655625112093226;23.314732041016196;0.2781871216985071;0.3140199075747699;0.6942918285532139;0.8675035322647906;1.1084545834377688;1.4112587663707863;12.20703125;0.008930600911724438;12.20703125;0.0012379224279473855
yaw_0;14;15;5;Results_File_5_TOP_15.mat;0;0.5489999651908875;1.0;7.9;0.3884492000000001;0.8103524262218462;8.11549659791033;8.4635249964297;0.25345604512838255;0.23461399092897878;0.5565362197372815;0.5720190543607794;5.275099148215391;6.5499325050721335;5.275099148215391;6.5499325050721335;78.75253451300375;88.98083418905144;8.352991193111588;9.931974332257605;19.546098412636987;22.079830877206557;0.24815323039762227;0.28037181365022934;0.7700923135555621;0.915570381030512;1.1599564679200478;1.44106935205825;12.6953125;0.0030482067268604285;12.6953125;0.0021165207222433105
