yaw_group;test;top;file_number;mat_file;yaw_target;yaw_actual_median;tsr_expected;tsr_median;tsr_std;pitot_velocity_median;u_blockage_corrected_median;ct_for_blockage_median;blockage_factor_median;rotor_thrust_drag_corrected_median;nacelle_drag_median;tower_drag_median;cp_median;cp_plus_std;cp_minus_std;cp_min;cp_max;ct_median;ct_plus_std;ct_minus_std;ct_min;ct_max
yaw_minus_30;1;1;5;Results_File_5_TOP_1.mat;-30;-28.799999237060547;8.2;9.96089165348824;0.8981151162195383;3.993789385884038;4.100457997419754;0.35094290072173207;1.0264321610901985;3.01628415989598;0.16624600992061508;0.3216256793473541;0.128292315216825;0.15897219625184372;0.09761243418180626;0.0327532236949059;0.17771330796208906;0.3331010086108442;0.5382723802236677;0.12792963699802062;0.0;0.5704423286460518
yaw_minus_30;4;5;5;Results_File_5_TOP_5.mat;-30;-29.492998123168945;8.5;10.05788758669016;0.8789405805413465;4.037927959114313;4.28995249361095;0.5573063814017185;1.0615417427346023;4.883392444786352;0.18196652229824886;0.28274441445583615;0.0773327765962031;0.09703922475380988;0.05762632843859633;0.026605583740967824;0.11618987600203755;0.47641831630978515;0.5967004262339826;0.3561362063855878;0.20383383718433837;0.5704431755978876
yaw_minus_30;7;8;5;Results_File_5_TOP_8.mat;-30;-29.825998306274414;8.8;10.508899887415254;0.5651272655382961;4.050202150678922;4.291385900898946;0.5504749498207622;1.0598637593587334;4.840991978633527;0.1820881299801972;0.2578502691389017;0.045104293354089914;0.05533371090525633;0.0348748758029235;0.01750866150930425;0.0769306455530153;0.49004659529678024;0.5914531540877903;0.3886400365057702;0.2729350786500889;0.57044352222798
yaw_minus_30;10;11;5;Results_File_5_TOP_11.mat;-30;-28.800579809373424;7.6;8.503324555242415;0.8690203981957146;4.584633029276325;4.801767114481143;0.49208163141089845;1.0473611508623206;5.539494175100199;0.22797576496501948;0.38786491826742875;0.21189942861643965;0.26418114922408814;0.15961770800879116;0.0647629450830326;0.2508006440914249;0.41404479461142474;0.5564288771923688;0.2716607120304807;0.1463794971363272;0.570443169884308
yaw_minus_30;13;14;5;Results_File_5_TOP_14.mat;-30;-29.78999900817871;7.9;8.864239768088048;0.5156427803937653;4.584482242984157;4.8856208054478865;0.5745885068818584;1.0660277834835434;6.478649278480692;0.23600761176327928;0.3320646163760741;0.17032535490878103;0.19868152784429494;0.14196918197326713;0.10312128100004031;0.20464908696678424;0.5056149266785552;0.6000478663689328;0.4111819869881776;0.29343435432096654;0.5704435121243491
yaw_minus_30;16;17;5;Results_File_5_TOP_17.mat;-30;-29.690998077392578;8.2;9.400811849935831;0.3597685596605783;4.584630758531632;4.8897112547262775;0.5772554560041958;1.0667527291683938;6.509750557452401;0.2364029671632678;0.3082518039266746;0.1445022179477326;0.1623574958321678;0.1266469400632974;0.09979088312225971;0.1776419658755066;0.5072715678248709;0.5783839534088719;0.43615918224086997;0.3606226846821637;0.570443469495743
yaw_minus_30;19;20;5;Results_File_5_TOP_20.mat;-30;-28.74599838256836;7;7.5741441791204815;0.6492840095318639;5.0475091273585955;5.3827550838445415;0.5749287368516824;1.0661197812341077;7.855953874930933;0.28648094085711584;0.4385264475871798;0.24305422189908893;0.29776698827409626;0.1883414555240816;0.11026249180457089;0.2898173583412221;0.4851502629682096;0.5947600212178961;0.37554050471852324;0.2398315296001829;0.5704435266323518
yaw_minus_30;22;23;5;Results_File_5_TOP_23.mat;-30;-29.60999870300293;7.3;7.9913562994062435;0.3384894679896619;5.054397374639908;5.383756927378759;0.5717009829371394;1.0652530567669833;7.840583243763776;0.28658759098842035;0.38050838290831507;0.22549725214557026;0.25333523160876337;0.19765927268237718;0.1615912460596197;0.262224631486702;0.5038060287046872;0.5829424625568242;0.4246695948525501;0.3347407853499742;0.5704435266173934
yaw_minus_30;25;26;5;Results_File_5_TOP_26.mat;-30;-29.51999855041504;7.6;8.40682227872722;0.25832687469933385;5.0571699142456055;5.399702462718137;0.5803277819467065;1.0675993029924415;7.973622348866709;0.2882877276789174;0.365753782428632;0.2097970291256434;0.2290745598252709;0.19051949842601593;0.1640421821983354;0.23862387959625814;0.5091629485275735;0.568981948345938;0.4493439487092091;0.3893947365890063;0.5704433078426265
yaw_minus_30;28;29;5;Results_File_5_TOP_29.mat;-30;-28.718997955322266;6.4;6.769604648155406;0.42050443060255194;5.561346083879471;5.886573624407113;0.5395696831584182;1.0572878774875836;8.905790837223593;0.3426191708854135;0.5074740947470462;0.2690311557060892;0.3152437436901338;0.2228185677220446;0.16075150246248232;0.31343019375220693;0.48268191361500035;0.6024482847338748;0.3629155424961259;0.23720782900539172;0.5704434297656701
