yaw_group;test;yaw_target;top;file_number;mat_file;yaw_fft_dc;tsr_expected;tsr_fft_dc;tip_speed_fft_dc;cp_fft_dc;ct_fft_dc;pitot_fft_dc;u_blockage_corrected_fft_dc;blockage_factor_fft_dc;ct_for_blockage_fft_dc;thrust_raw_fft_dc;rotor_thrust_fft_dc;nacelle_drag_fft_dc;nacelle_drag_moment_fft_dc;tower_drag_fft_dc;tower_drag_moment_fft_dc;tower_velocity_fft_dc;axial_induction_fft_dc;cp_dominant_frequency_hz;cp_dominant_amplitude;ct_dominant_frequency_hz;ct_dominant_amplitude
yaw_minus_30;1;-30;1;5;Results_File_5_TOP_1.mat;-28.799999237060547;8.2;8.960111032893167;40.36116119349425;0.10671237262759573;0.3529044774670361;3.9940126018167263;4.5862945373119235;1.148352853512021;0.5169289447843967;5.186053460630168;4.324682747034223;0.2120593310772269;0.16964746486178153;0.3365654944896378;0.13462619779585513;3.6045276355975155;0.10223425227747833;12.125;0.03979161894662783;12.125;0.18905774476167042
yaw_minus_30;4;-30;5;5;Results_File_5_TOP_5.mat;-29.489425833379553;8.5;9.510558170770972;42.638772306451415;0.07336678019108452;0.43218115793646744;4.03779495522494;4.534334648337599;1.1229734698898823;0.5686944716174396;5.216849499949509;4.863844274828774;0.20584263039906386;0.1646741043192511;0.29432518944334024;0.11773007577733613;3.379545864950467;0.12518023693358565;12.875;0.026618922083603877;12.875;0.13448734778096375
yaw_minus_30;7;-30;8;5;Results_File_5_TOP_8.mat;-29.825935378812492;8.8;10.142448293775821;44.57346668434437;0.04550985911056201;0.46634450342617995;4.050242193679355;4.411320525422232;1.0891621530976074;0.5671561524847545;5.2033509083386615;4.879746364416426;0.1931679129052875;0.15453433032423003;0.2608732620338992;0.10434930481355968;3.1942975620517076;0.13627311261849906;13.375;0.007543071073125636;13.375;0.08590613414186964
yaw_minus_30;10;-30;11;5;Results_File_5_TOP_11.mat;-28.80438156016411;7.6;7.7365837625410805;40.35943445990476;0.17776326040999663;0.40179379527214143;4.5848121698843025;5.316337412673989;1.1595443468657476;0.5742542200715256;7.020212301663498;6.332251893860679;0.2852835625266992;0.2282268500213594;0.4277994432672693;0.17111977730690778;4.059059386992057;0.11560340688584973;12.125;0.0655660183322493;12.125;0.11372454284729407
yaw_minus_30;13;-30;14;5;Results_File_5_TOP_14.mat;-29.793589652897847;7.9;8.53968997240279;42.80729228525948;0.16366919849121966;0.47496659614290526;4.5846559739002295;5.035271412512389;1.0982952074754948;0.5870579979559482;6.89119219176952;6.47189984773674;0.2518707903416485;0.20149663227331877;0.33484310738226103;0.13393724295290446;3.6189455719658157;0.139037195772886;12.875;0.037983030166057474;12.875;0.10877102884101807
yaw_minus_30;16;-30;17;5;Results_File_5_TOP_17.mat;-29.693941288764915;8.2;9.156600985421715;45.42579553846547;0.14279214683006286;0.4987740150668186;4.584919851488704;4.969973220958847;1.0839831666403033;0.5933665969964645;6.943656618101972;6.542537805950042;0.24468166521889467;0.19574533217511575;0.3128742938660729;0.12514971754642917;3.5011408250578255;0.14684335269487164;13.75;0.017942146642702536;13.75;0.06610834401544054
yaw_minus_30;19;-30;20;5;Results_File_5_TOP_20.mat;-28.743099778307478;7;7.164119123437108;40.30347682876109;0.22440578416154003;0.4447409386288927;5.047619273231055;5.686626096794305;1.1266062679717324;0.5863234202354197;8.385480601025746;7.835330431195178;0.32350940540569834;0.25880752432455856;0.4532815288497378;0.18131261153989517;4.196381209196495;0.12907716029800853;12.125;0.0746935187312942;12.125;0.11477306340585175
yaw_minus_30;22;-30;23;5;Results_File_5_TOP_23.mat;-29.612401985788345;7.3;7.7659145488115;42.52348259177801;0.22166167050258373;0.4918133613492113;5.054226600546017;5.487944403947564;1.085823190422387;0.5887890418891177;8.379996696121525;7.888444941628544;0.29847485543371605;0.23877988434697284;0.3861537981185262;0.15446151924741047;3.888942812362279;0.14456801530327323;12.875;0.029632858443396595;12.875;0.07468004718055704
yaw_minus_30;25;-30;26;5;Results_File_5_TOP_26.mat;-29.520358876881005;7.6;8.219368791165005;44.85664442036104;0.2085839595930774;0.5071614849147248;5.057636142961557;5.463647706487705;1.0802824171862309;0.5968631842181228;8.489548613189566;8.007708724198329;0.29549837231350884;0.2363986978508071;0.3726830333554519;0.14907321334218074;3.8218264277167027;0.14959659703465086;13.5;0.027021891247107476;13.5;0.07708105084605746
yaw_minus_30;28;-30;29;5;Results_File_5_TOP_29.mat;-28.718997955322266;6.4;6.506674958107244;39.39428146342738;0.2566757844621738;0.4466154141387142;5.563650169380755;6.085523587276199;1.0938137840449622;0.5531142039737004;9.604624022951507;8.980108434932296;0.36814841256837455;0.29451873005469964;0.5127343509016711;0.20509374036066844;4.475629121785527;0.1300784112142661;11.875;0.0688477551948824;11.875;0.15682433425638698
yaw_0;2;0;2;5;Results_File_5_TOP_2.mat;1.1179838266548279;8.2;8.419434116237019;40.36365471664361;0.20459053638528393;0.4756539923452365;4.006238073972174;4.877242098475082;1.2168540361565023;0.7150347323949657;7.3950085062819015;6.025805957912839;0.2393567954477059;0.1914854363581647;0.32427767332783813;0.12971106933113527;3.5257305393283764;0.13864510880397976;12.125;0.07491079593204385;24.375;0.05474634295525068
yaw_0;5;0;6;5;Results_File_5_TOP_6.mat;0.2907982378839815;8.5;8.662918777992134;42.63513902301891;0.16544023200734187;0.49977587987474925;4.01180656268387;4.999115121168257;1.246262854723678;0.7719235799904425;7.422823093154031;6.514865125421662;0.25101943304244156;0.20081554643395327;0.33057696431782735;0.13223078572713096;3.5488869896894903;0.14683501292965967;12.875;0.07564759833398803;12.875;0.04177590222645794
yaw_0;8;0;9;5;Results_File_5_TOP_9.mat;0.2802194605230965;8.8;8.980027819241695;44.57346339183998;0.14003799810787068;0.5083045035476808;4.013182784627172;5.03382180630405;1.254151998499522;0.7911340412294939;7.427302204751013;6.685564172825143;0.2541217622172158;0.20329740977377264;0.3302827380189285;0.13211309520757142;3.5459254700851632;0.1499329192007358;13.375;0.041472539865413015;13.375;0.03973462955494338
yaw_0;11;0;12;5;Results_File_5_TOP_12.mat;1.0706760831763968;7.6;7.237241287780921;40.359122137137525;0.23818997404466624;0.4960454322130672;4.545257362435361;5.67025426570384;1.2475216180862858;0.7680190211433228;9.443858638380938;8.32285363862589;0.32327252117968375;0.2586180169437471;0.4290104954260818;0.17160419817043274;4.040319102364914;0.14553824581579203;12.125;0.09210970958311236;12.125;0.03404563837111663
yaw_0;14;0;15;5;Results_File_5_TOP_15.mat;0.5479829478026143;7.9;7.497130743725669;42.8101950698411;0.20827768893101586;0.5073651640007234;4.546605780150081;5.789577490530985;1.2732581762318826;0.8100225402445858;9.594106041904796;8.785171536195314;0.3360662381452937;0.26885299051623496;0.43952551438653437;0.17581020575461379;4.085084053872946;0.1497528441832532;12.875;0.08633749387398854;12.875;0.07179370776111009
yaw_0;17;0;18;5;Results_File_5_TOP_18.mat;0.32132723343015834;8.2;7.860244103262908;45.42556769407667;0.18645528577095877;0.5079332662893045;4.545647830465048;5.8500571022575825;1.2868990202556028;0.8267282569305087;9.676679003383434;8.962497556727405;0.34259626066539156;0.27407700853231326;0.4477824874517215;0.17911299498068864;4.125071392885942;0.15002230499105568;13.75;0.056837840913322536;13.75;0.06160013672089365
yaw_0;20;0;21;5;Results_File_5_TOP_21.mat;1.1230657153787091;7;6.612808787895101;40.30164599526326;0.2650820188233168;0.5010609128868079;5.017497442869221;6.196410479882064;1.234965891975648;0.7593669550016372;10.979230281697275;10.0281937262654;0.38617778222461163;0.30894222577968933;0.50833209541465;0.20333283816586;4.394477668061217;0.1473376823013321;12.125;0.11866871025547775;12.125;0.04162450734975913
yaw_0;23;0;24;5;Results_File_5_TOP_24.mat;0.26999998092651367;7.3;6.846393643224978;42.52422426896144;0.2441518788762718;0.5156672511309255;5.016613711773729;6.296743009167103;1.255095345353237;0.7997403335956962;11.265598986115927;10.559421733501422;0.3976724329083309;0.3181379463266647;0.5121602213347312;0.20486408853389254;4.4059473099408955;0.1527303730483839;12.875;0.07768179920837014;12.875;0.05581792609371164
yaw_0;26;0;27;5;Results_File_5_TOP_27.mat;0.2765242614711945;7.6;7.126641907140085;44.85696421899994;0.22540019917545367;0.5174672323235413;5.011182699464014;6.363657055558676;1.269881517994912;0.8212630271756174;11.490804946773377;10.818736198281371;0.4050317612603229;0.3240254090082584;0.5185243493922838;0.20740973975691349;4.441927305468304;0.15339287423793954;13.5;0.08476761953857637;13.5;0.0781778960071425
yaw_0;29;0;30;5;Results_File_5_TOP_30.mat;1.056654027796071;6.4;6.015720390349905;39.39426498164995;0.29313155219131637;0.48566575356343694;5.5275473262052985;6.66390825276005;1.2055671955817795;0.7105450111760858;12.4691009523555;11.387627646194684;0.44723230196795744;0.35778584157436594;0.59965671026886;0.23986268410754405;4.78324415171956;0.141986607652871;11.875;0.14183501265620582;23.75;0.07400749875220519
yaw_plus_30;3;30;3;5;Results_File_5_TOP_3.mat;30.7673345088281;8.2;8.792621035992596;40.358941247941445;0.10983764819937014;0.4192970362856442;4.044152849422107;4.675493822145745;1.1559715701230826;0.5868905802505804;5.483602033875988;5.036963721196782;0.22059489323947556;0.17647591459158046;0.3239708837133603;0.12958835348534417;3.529340101698572;0.1207460917263769;12.125;0.04039489911254622;12.125;0.09425262802529334
yaw_plus_30;6;30;7;5;Results_File_5_TOP_7.mat;30.519220987848698;8.5;9.67145615614484;42.63814775990055;0.08865690974318269;0.491970897212212;4.037056887558144;4.423914023563377;1.095835226597993;0.6012734916817589;5.459471973493519;5.139807390471818;0.19420754747072563;0.15536603797658052;0.2509140711019537;0.1003656284407815;3.1343723333342615;0.14454383356641384;12.875;0.019839572294972737;12.875;0.09459021986006398
yaw_plus_30;9;30;10;5;Results_File_5_TOP_10.mat;30.514340955327597;8.8;10.147732918414247;44.57161510347752;0.060229185982581694;0.49856368493647324;4.045667025512985;4.4023246893248364;1.088165135818455;0.5984317900773323;5.452052360466201;5.137199477852466;0.19207789611170129;0.15366231688936102;0.24554997300406833;0.09821998920162736;3.1016934132407807;0.1467368642762932;13.5;0.007531640456455294;13.375;0.05982769453071761
yaw_plus_30;12;30;13;5;Results_File_5_TOP_13.mat;30.46888468157548;7.6;7.947272540191549;40.35959462387041;0.19209113631770974;0.48697367443003325;4.577125268380789;5.10807683795198;1.1160162988180469;0.6207067136636889;7.248394142508942;6.819967239600615;0.25955622810080187;0.20764498248064153;0.33774134961504887;0.1350965398460196;3.6340583994628215;0.14284169670599298;12.125;0.04408473882668774;12.125;0.07492039993154576
yaw_plus_30;15;30;16;5;Results_File_5_TOP_16.mat;30.46029063513947;7.9;8.591960701921957;42.809290734737154;0.17745448634081867;0.5231000362159338;4.5794484046023465;4.988454880977775;1.0893195278263368;0.6250805947216819;7.272356507526484;6.875521201670292;0.246345361460841;0.1970762891686728;0.30097988879070525;0.12039195551628211;3.4353148187510225;0.1551270301629403;12.875;0.02296631916436628;12.875;0.05903312726030383
yaw_plus_30;18;30;19;5;Results_File_5_TOP_19.mat;30.464700215131046;8.2;9.136361252953552;45.42689445566975;0.15597139397516607;0.5265106515435991;4.579678174448711;4.976427546048591;1.086634983966017;0.6248971735161043;7.268311396515101;6.87434898241378;0.24507790964863554;0.19606232771890844;0.29776900890537367;0.11910760356214949;3.417142498442897;0.15625969942273102;13.75;0.013353437242777223;13.75;0.039347081315759
yaw_plus_30;21;30;22;5;Results_File_5_TOP_22.mat;30.48462570878019;7;7.272537813167015;40.30190087746339;0.23419529215927173;0.48990058801000014;5.0455572643550735;5.5643391590816655;1.102824895003112;0.6082668334097265;8.628252479948104;8.121876228733726;0.3074289454326595;0.24594315634612757;0.3978946115634353;0.15915784462537413;3.9469946794438577;0.14392311234131888;12.125;0.05378470285479423;12.125;0.09509978563014349
yaw_plus_30;24;30;25;5;Results_File_5_TOP_25.mat;30.45848932102372;7.3;7.7696442715430205;42.52567528036035;0.23114404566151114;0.5243730136729023;5.045573743906122;5.478028522543716;1.0857148872454678;0.621551456210731;8.77745205821904;8.299331014778407;0.29696965165539724;0.23757572132431778;0.36230278357047097;0.1449211134281884;3.769162019611972;0.15553213726438075;12.875;0.020685892472944434;12.875;0.04324147794516411
yaw_plus_30;27;30;28;5;Results_File_5_TOP_28.mat;30.41669228306562;7.6;8.195009465927416;44.85851561907628;0.2173716561652644;0.5324387996319535;5.04575456806682;5.476721369488638;1.0854117911744734;0.6292647542160146;8.878261629572759;8.403225031015726;0.296725158196905;0.23738012655752402;0.35662288072025594;0.1426491522881024;3.739866609929927;0.15830886948225548;13.5;0.019557124065914377;13.5;0.04231050532666205
yaw_plus_30;30;30;31;5;Results_File_5_TOP_31.mat;30.48353812528551;6.4;6.501804744112253;39.39257173062496;0.2576837310133821;0.46303123990702433;5.5548193301585815;6.086603516628428;1.0957514027116286;0.5721769368305233;9.877402557412939;9.259899934062402;0.3680550786470104;0.2944440629176084;0.4988950894070531;0.1995580357628213;4.417212483500079;0.1352366451297869;11.875;0.0664811563024689;11.875;0.13718184455306465
