top;mat_file;file_found;Meas. Rotor azimuth [deg] Fourier DC;Meas. Rotor azimuth [deg] Mean;Meas. Rotor azimuth [deg] Median;Meas. Rotor speed [rpm] Fourier DC;Meas. Rotor speed [rpm] Mean;Meas. Rotor speed [rpm] Median;Meas. Generator torque [Nm] Fourier DC;Meas. Generator torque [Nm] Mean;Meas. Generator torque [Nm] Median;Meas. Aerodynamic torque [Nm] Fourier DC;Meas. Aerodynamic torque [Nm] Mean;Meas. Aerodynamic torque [Nm] Median;Meas. Tower fore-aft moment [Nm] Fourier DC;Meas. Tower fore-aft moment [Nm] Mean;Meas. Tower fore-aft moment [Nm] Median;Meas. Tower side-side moment [Nm] Fourier DC;Meas. Tower side-side moment [Nm] Mean;Meas. Tower side-side moment [Nm] Median;Meas. Shaft bending moment [Nm] Fourier DC;Meas. Shaft bending moment [Nm] Mean;Meas. Shaft bending moment [Nm] Median;Meas. Demanded pitch B1 [deg] Fourier DC;Meas. Demanded pitch B1 [deg] Mean;Meas. Demanded pitch B1 [deg] Median;Meas. Actual pitch B1 [deg] Fourier DC;Meas. Actual pitch B1 [deg] Mean;Meas. Actual pitch B1 [deg] Median;Meas. Demanded pitch B2 [deg] Fourier DC;Meas. Demanded pitch B2 [deg] Mean;Meas. Demanded pitch B2 [deg] Median;Meas. Actual pitch B2 [deg] Fourier DC;Meas. Actual pitch B2 [deg] Mean;Meas. Actual pitch B2 [deg] Median;Meas. Demanded pitch B3 [deg] Fourier DC;Meas. Demanded pitch B3 [deg] Mean;Meas. Demanded pitch B3 [deg] Median;Meas. Actual pitch B3 [deg] Fourier DC;Meas. Actual pitch B3 [deg] Mean;Meas. Actual pitch B3 [deg] Median;Meas. Demanded yaw [deg] Fourier DC;Meas. Demanded yaw [deg] Mean;Meas. Demanded yaw [deg] Median;Meas. Actual yaw [deg] Fourier DC;Meas. Actual yaw [deg] Mean;Meas. Actual yaw [deg] Median
1;Results_File_5_TOP_1.mat;True;179.8243428757093;179.8243428757093;179.79037282466797;709.0152663215665;709.0152663215664;708.9747580215276;0.6195465313767151;0.6195465313767151;0.6195814984442279;0.06569673287820478;0.06569673287820478;0.06574266300750303;-4.148842768504134;-4.148842768504134;-4.135772066731689;1.4441067054104655;1.4441067054104655;1.4343016599455216;0.9132006268229765;0.9132006268229765;0.9390903273700448;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-28.799999237060547;-28.799999237060547;-28.799999237060547
2;Results_File_5_TOP_2.mat;True;180.03973202800768;180.03973202800765;179.86708139578496;709.0590694711178;709.0590694711177;709.0690333289756;0.6195078818823634;0.6195078818823634;0.6194991210819103;0.15149561997156583;0.15149561997156583;0.15146319957038507;-5.916006805025521;-5.916006805025521;-5.8790960215752825;0.09399367262236737;0.09399367262236738;0.11983765733807852;1.6064984919658627;1.6064984919658627;1.6006201133747329;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.0;0.0;0.0;1.1179838266548279;1.117983826654828;1.1159999370574951
3;Results_File_5_TOP_3.mat;True;179.72086564586974;179.72086564586976;179.87028988202437;708.9762690469391;708.9762690469391;708.9149630154385;0.6195831893361924;0.6195831893361924;0.6196337584202832;0.07186487990365972;0.07186487990365972;0.07182790617385282;-4.386881627100791;-4.38688162710079;-4.289307437656847;-1.502764945271756;-1.502764945271756;-1.4636934091967562;1.7961488894522215;1.7961488894522215;1.7609137140063864;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;30.0;30.0;30.0;30.7673345088281;30.7673345088281;30.761999130249023
4;Results_File_5_TOP_4.mat;False;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan;nan
5;Results_File_5_TOP_5.mat;True;180.08099467509197;180.08099467509197;180.11325688362137;749.025538624896;749.025538624896;749.0176762308135;0.586452222915223;0.586452222915223;0.5864583131657213;0.04281628802569298;0.04281628802569298;0.04275846811767963;-4.173479599959607;-4.173479599959608;-4.146267246815492;1.4760004448019746;1.4760004448019746;1.4885737422492782;1.3806766325613014;1.3806766325613016;1.3662673351131573;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-29.489425833379553;-29.489425833379553;-29.492998123168945
6;Results_File_5_TOP_6.mat;True;180.24250680579152;180.24250680579152;180.14051261742878;748.9617135677286;748.9617135677287;748.9645385582746;0.5865022103947074;0.5865022103947074;0.5864999213169741;0.12603051470206508;0.12603051470206508;0.12605630099179974;-5.938258474523225;-5.938258474523225;-5.891723690554503;0.14073210532914035;0.14073210532914032;0.1653160491297367;1.3510026360606484;1.3510026360606484;1.3367216472992873;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.0;0.0;0.0;0.2907982378839815;0.2907982378839815;0.2879999876022339
7;Results_File_5_TOP_7.mat;True;180.006697290206;180.00669729020603;180.0184172372022;749.0145673588075;749.0145673588075;749.0181620260312;0.5864608102647995;0.5864608102647995;0.5864579328029516;0.050253987668483206;0.0502539876684832;0.050369172013228714;-4.3675775787948155;-4.367577578794816;-4.2910613071534165;-1.4971672394322655;-1.4971672394322657;-1.4772340676957378;1.3310865728205468;1.3310865728205468;1.2985197605540855;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;30.0;30.0;30.0;30.519220987848698;30.519220987848698;30.518999099731445
8;Results_File_5_TOP_8.mat;True;180.2649000786385;180.2649000786385;180.1510881384218;783.0118712533468;783.0118712533468;783.0018332433733;0.5609974668652505;0.5609974668652505;0.5610046161886011;0.024372026301565472;0.024372026301565472;0.024497063038617248;-4.1626807266709305;-4.1626807266709305;-4.114043426129188;1.4469783733199015;1.4469783733199015;1.4629354749715846;1.3632665958963006;1.3632665958963006;1.3409412974967292;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;-30.0;-30.0;-30.0;-29.825935378812492;-29.825935378812492;-29.825998306274414
9;Results_File_5_TOP_9.mat;True;180.37749941486138;180.37749941486135;180.54333664377538;783.0118134146769;783.0118134146769;783.0022527465308;0.5609974999555116;0.5609974999555116;0.5610043156233795;0.1050910017347602;0.1050910017347602;0.10505525990276354;-5.94184176380081;-5.941841763800811;-5.875720119764736;0.120077640336568;0.12007764033656801;0.13490876843854335;1.268366028426763;1.268366028426763;1.2609423449587673;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.0;0.0;0.0;0.2802194605230965;0.2802194605230965;0.2789999842643738
10;Results_File_5_TOP_10.mat;True;180.01526865940096;180.015268659401;179.8762660980229;782.9793449567139;782.9793449567139;782.9823126650936;0.5610207670049686;0.5610207670049686;0.5610186026277866;0.032418725702643425;0.03241872570264343;0.03243212970551321;-4.3616418883729615;-4.3616418883729615;-4.2811738488174065;-1.5157776327793515;-1.5157776327793515;-1.4902525217302256;1.4688939180434595;1.4688939180434595;1.451292982320612;0.3993149995803833;0.3993149995803833;0.3993149995803833;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.3991750180721283;0.3991750180721283;0.3991750180721283;0.4000000059604645;0.4000000059604645;0.4000000059604645;0.39368000626564026;0.39368000626564026;0.39368000626564026;0.4000000059604645;0.4000000059604645;0.4000000059604645;30.0;30.0;30.0;30.514340955327597;30.514340955327594;30.511087048438288
